Title,Company Name,Job Location,Salary,Job Description,Job Link
Software Quality and Test Engineer,Calyx,"Hyderabad, Telangana","₹2,80,679 - ₹7,50,000 a year","1 to 3 years of relevant work experience, preferably in Clinical trials/pharmaceutical environment.Experience of working with a matrix environment.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A1q6x1mN0P_wCigYEPqPy8Z490NYurVToaVVNYwVWvYoUGNjHOxLli63vVZqoRv3ser4k71Sx2Ab7o8jgJFchHPdiUx9PSaUnssL9FTbZcEt2ecXXClP3Z7sn9gxBkDiDuP6MmnGwDKN70DpXulTPDRtY0werLpB4AYfu6ucaGD6XLDHB3sBHTvrKUV8RFYnGMRLmlLqcBQCPKpZkvkLOCR5k4GsxZre41D8BTS8UEmL_mxMP8wLJc9lLzZqsC1HcHuaAyQEoalIoneD_IlHg1HJ53q3NE3TMBWTVuYnNpQjuxdXE64HrkZRoex2zIWcurS23Bai-RSkIB3PP_EhpUFAgEyo0C89jH0pxVHw1phLTR3VPf1yX2T8YuG4EcCgvx1vCLyoKvWZ8skzSpzdv75KYa7YQ69Pt5fZJJxSxJ3CW3yTWEX03DQa8GZMj7DdDcYNjTu1-YFbhvoqXIZ7uvf1H4L9OU5l2gvi8jQELBj89PnU3VHI5t6pWDrAebh3o=&xkcb=SoBq-_M3af971ex9GB0KbzkdCdPP&p=1&fvj=1&vjs=3
Software Engineer,Waviz Technologies Pvt Ltd,"Lucknow, Uttar Pradesh","₹1,50,000 a year",Candidate should have graduate degree ( BCA/B.Tech/B.Sc).Candidate should have good communication skills.Candidate should have basic knowledge of C/C++/Java…,https://in.indeed.com/company/Waviz-Technologies-Pvt-Ltd/jobs/Software-Engineer-31e12f241a29172c?fccid=98ee51bcefe974e4&vjs=3
Software Engineer,CGI Inc,"Bengaluru, Karnataka+2 locations",Not Disclosed,"Extremely comfortable in understanding the customer pain points and Providing good Technical solutions.Very strong Logical Reasoning and Analytical thinking,…",https://in.indeed.com/rc/clk?jk=6cb8122c7143385e&fccid=43a69183767d4301&vjs=3
Python Developer,Infosys Limited,"Bengaluru, Karnataka+1 location",Not Disclosed,2 – 3 years: Profile 1: Looking for candidates with firm understanding of Python Data Structures and Object Oriented programming.,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0E1kVSxZWqg_3rwn6zUnYbszXdTQpf9L-zhTFANv_MIJ-LsmYd4ECt-y6Uekf4eOZfXrYYcl2LVnH9uO2Y_DyfLCrDVXP07VPS_M-941xyRlmx2SVMRhPJFzseCG_0yG17Dm9CgIFL2QD7EdLfFaLsAY1BBrtK43WlJZwD-g0X-3RJDtzGnmMuWl_JCA3BADaG9qukAqlbysGpNyuPRnV-3dBgrvccnC6NtXt5r320bb-dj7zLJkhYrpbHfcQtNd4KOJj--W5Jwbem6ZAeKXtsNOnPkpykvP9YMYOfEoODj14s-iATfKdKBsztstff2fY827zj8hZBK2RhJ52CJBzbhCyNnJDyXtF2g-dzR5EM88aPpi_2G81S76KSINV0hkszAL7arGPF_FnEgPRVvKhHKJ-R-1iuvtFt5Kyo1awnoTjUVra9o1WqwAHoo4idJdAghTNA2h34CzuDwldw-ez6eZsWTZsXNtDC2V5jOCsGSy1mHNphAMCPtWVCSvyoN3Yzasec5-_NA==&xkcb=SoBB-_M3af971ZR9GB0JbzkdCdPP&p=4&fvj=0&vjs=3
Software Engineer,Maersk,"Bengaluru, Karnataka+1 location",Not Disclosed,Prioritizes efficient code production by using open-source frameworks and patterns.The software engineer can works across the full stack or be specialized in e…,https://in.indeed.com/rc/clk?jk=e621f9ffe7a9f0f6&fccid=14e7391c55beeb80&vjs=3
Software Developer,VIVCLOUD TECHNOLOGIES PRIVATE LIMITED,"Lucknow, Uttar Pradesh","₹8,086 - ₹28,868 a month","Prepare and produce releases of software components.Analyze user requirements to define business objectives.Write well designed, testable code.",https://in.indeed.com/company/VIVCLOUD-TECHNOLOGIES-PRIVATE-LIMITED/jobs/Software-Developer-580d0b05e3a13c55?fccid=3111814050ef07f6&vjs=3
Software Engineer Trainee,Hashstudioz Technologies Pvt. Ltd.,"Remote in Noida, Uttar Pradesh","₹10,000 - ₹25,000 a month","Software Engineer Fresher: In this role you will work with other developers, designers, and business managers to develop features for web applications as well…",https://in.indeed.com/company/HashStudioz-Technologies-Pvt-Ltd/jobs/Software-Engineer-Trainee-656fdc0b1b469693?fccid=c90b199ca4defef0&vjs=3
Software Engineer 2 - Backend Engineer,Microsoft,"Hyderabad, Telangana",Not Disclosed,"Strong design, coding, debugging, problem-solving skills.Track record shipping complex commercial software successfully.4+ years of programming experience.",https://in.indeed.com/rc/clk?jk=e50b4b9ad00da5b5&fccid=734cb5a01ee60f80&vjs=3
"Software Engineer, Embedded Systems",Google,"Bengaluru, Karnataka",Not Disclosed,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6LV1r5rpdxHXQFKF2tEJssbaTH9yAUMN6EqMbe2y0QSZpXHZGWWZrzev39fli2Y9QBYcPLJbCW0n91iaulaZ6Dr1nwEqClBVnoxzCClO1CKLFX3zWL8iIfnNFS7fphz0Y4z-ie8GW3ptay0fyvT6l0QJso4b8xJ3YbWg-DvO4G655juzTRrRj5XJ9PXwhMP06bIbYMU89rG7UJFZZfdgqx-63KNKzpBd86i_EvPKwkNW7r_WIfS2i0y8_EOTsdc8A1bnjRV_pH2mmL4c9FPqMiMfw1tZbxLNrK0NVPudLfCFbbZLn8kcmbEwZZChyhtpp7GeYWx6D99cndukBmohj9DlNribM5pO__753x8GJ4WWxCVvMQcxYRZRhoMk2f3gUqlLamDGhVtoN6xaM_bBXps3_I6Td2Vz4wrL6pA4Wo4kgwRmIm74AUL-nbyZFuX-uTv9lzwpVxOOduSqXjU7A3OxsSF9LaXrySDbHjgngNirez1ohcXbrMlzDLoUnmiUvdotXAbNMaNKeNiQ-p7sKab36kpZp68tBGbs5pl7jaBBg_fAJJdXJ1TFE_BooQZWQ36mHWFvmcYhVS9Wobuy4dYbGohnzartQMC-9m-93OXLtlJUnUyZEXklWREtHG384Bn0hJCtpv05Fl_j7M-8-xegH7EjTNj87_IUOcFMG6WWuAvGPpOCew8WnAi1qdfehqeESbjNuYgcilf6yyxnLo3J1pSfuZKrmY4zOYiAeV1MER837aq4e_GwdmiymmJA=&xkcb=SoAt-_M3af971Zx9GB0LbzkdCdPP&p=9&fvj=0&vjs=3
Software Engineer,Augurs Technologies Pvt. Ltd,"Remote in Lucknow, Uttar Pradesh","₹10,000 a month","Tech Lead- AI/ ML, Python PHP, and .Net.\* 5 Days working in week.Lucknow, Lucknow - 226010, Uttar Pradesh: Reliably commute or planning to relocate before…",https://in.indeed.com/company/Augurs-Technologies-Pvt.-Ltd/jobs/Software-Engineer-8c5904306d7efaed?fccid=8d85024cfeb37ef5&vjs=3
Software Engineer,MPowerUrge,"Ghaziabad, Uttar Pradesh","₹3,00,000 a year",_All selected candidates will undergo 6-month technical training.*ALL SELECTED CANDIDATES WILL UNDERGO 6 MONTH TECHNICAL TRAINING.,https://in.indeed.com/company/MPowerUrge/jobs/Software-Engineer-d79307c762ee4f87?fccid=7db275dea14c1ddd&vjs=3
Sr. Software Engineer (WFH),Terainium Private Limited,"Remote in Bengaluru, Karnataka","₹8,00,000 - ₹22,00,000 a year",Object Oriented analysis and design using common design patterns.Participate in design discussion for new requirements while adhering to the software…,https://in.indeed.com/company/Terainium-Private-Limited/jobs/Senior-Software-Engineer-bf113215939e1a52?fccid=c0cb50a968f609e5&vjs=3
Software Engineer,Microsoft,"Hyderabad, Telangana+2 locations",Not Disclosed,"Setting up engineering strategy for the team both from technical and business front.Ensuring that all programs are delivered with agreed upon business value,…",https://in.indeed.com/rc/clk?jk=62ac9f9c8248d01c&fccid=734cb5a01ee60f80&vjs=3
Software Engineer Trainee,Shri Ramswaroop Digital Technologies Pvt. Ltd.,"Lucknow, Uttar Pradesh","₹10,000 - ₹15,000 a month",Experienced and Strong Understanding of the development/coding.Conceptually clear of OOPS (Object Oriented Programming) concepts.,https://in.indeed.com/company/Shri-Ramswaroop-Digital-Technologies-Pvt.-Ltd./jobs/Software-Engineer-Trainee-e0eb2949cbcd10be?fccid=0cc873f9071fcd1c&vjs=3
Software Developer,Siemens Healthineers,"Bengaluru, Karnataka",Not Disclosed,"Requirement analysis, Design and development of technical solutions as per the specification/design.Technical expertise with Operating system concepts and…",https://in.indeed.com/rc/clk?jk=82193b252e3ae98b&fccid=c5679bf29a1db253&vjs=3
Software Engineer_QA,IBM,"Bengaluru, Karnataka",Not Disclosed,"2-4 years of experience in software testing in the workplace.Software Developers at IBM are the backbone of our strategic initiatives to design, code, test,…",https://in.indeed.com/rc/clk?jk=1930ab221551cab1&fccid=de71a49b535e21cb&vjs=3
Software Engineer,BlakTronics Investigation Labs,"New Delhi, Delhi","₹30,000 a month","To be able to build applications on python programming language.Job Types: Full-time, Regular / Permanent.Total work: 1 year (Preferred).",https://in.indeed.com/company/BlakTronics-Investigation-Labs/jobs/Software-Engineer-75f53f840dd3c472?fccid=191814c5ca2e2dd1&vjs=3
Junior Software Developer,Autodesk,"Remote in Pune, Maharashtra",Not Disclosed,"Writing reusable, testable, and efficient code.A proactive, accountable person with an understanding of full software development lifecycle.",https://in.indeed.com/rc/clk?jk=7f409cf4785e4999&fccid=7136762d065a5ad7&vjs=3
Website Designer and Developer,Digi Epitome,"Lucknow, Uttar Pradesh","₹15,000 - ₹25,000 a month","Write well designed, testable, efficient code by using best software development practices.Proven working experience of 3 to 5 years in web programming.",https://in.indeed.com/company/Digi-Epitome/jobs/Website-Designer-Developer-236ec5c2763f3ec1?fccid=26c8b0b08080299e&vjs=3
Software Engineer,DocPulse,"Bengaluru, Karnataka","₹2,40,000 - ₹3,60,000 a year",Troubleshooting and debugging issues and provide fixes to software issues.Demonstrable experience ( via github etc ) of working with coding projects in college…,https://in.indeed.com/company/DocPulse/jobs/Software-Engineer-ed1aab219258babe?fccid=4c126a32209f8682&vjs=3
Software Engineer (Backend) - SDE- I,Clootrack,Remote,Not Disclosed,"Continuously champion high-quality software engineering practices - from planning, implementation, test automation, documentation, code reviews, scaling,…",https://in.indeed.com/rc/clk?jk=7cb5258b083260fb&fccid=f9986eca917da32f&vjs=3
Experienced React JS Front end Developer,SAS One Pvt. Ltd.,"Lucknow, Uttar Pradesh","₹15,000 - ₹50,000 a month","Experience using Google Firebase and some analytics tools.In-depth understanding of the entire web development process (design, development and deployment).",https://in.indeed.com/company/One-Corp/jobs/Experienced-React-Js-Front-End-Developer-cfa978540450292d?fccid=ce1bc98f547a4642&vjs=3
Software Test Engineer - Remote,Madhulata Infotech Pvt. Ltd,"Remote in Delhi, Delhi","₹1,50,000 - ₹3,00,000 a year",Presenting findings to software development and business user teams.Strong verbal and written communication skills with the ability to liaise with a variety of…,https://in.indeed.com/company/Madhulata-Infotech-Pvt.-Ltd/jobs/Software-Test-Engineer-1f2f5f29d5435299?fccid=f4a7f143c669cc2b&vjs=3
Software Engineer (Fresher),FirstWire Apps,"Lucknow, Uttar Pradesh","₹15,000 a month",Position available is Trainee-Software Engineer.Joining will be given immediately and training will be provided to the shortlisted candidates in the respective…,https://in.indeed.com/company/FirstWire/jobs/Software-Engineer-cafa413265966caf?fccid=227c75a5823d9ee1&vjs=3
Associate Software Engineer,CloudVandana Solution,"Remote in Bengaluru, Karnataka","₹3,00,000 a year",Open to new challenges and learning and flexible to work and support the team as per the business need.Quick learner with good communication skills.·.,https://in.indeed.com/company/CloudVandana-Solution/jobs/Associate-Software-Engineer-ea76677e1cec8a52?fccid=ffe722fcf84a70d7&vjs=3
Junior Software Engineer,Midaas Telesoft Private Limited,"Ahmedabad, Gujarat","₹30,000 - ₹40,000 a month","Experience with UNIX/Linux or Windows environments, distributed systems, information retrieval, web development, and TCP/IP preferred.Experience in Go, Java.",https://in.indeed.com/company/Midaas-Telesoft-Private-Limited/jobs/Junior-Software-Engineer-0f27c98fd2360775?fccid=6a6cce9b0f694b28&vjs=3
DevOps Engineer,"Conference Technologies, Inc.","Temporarily Remote in Pune, Maharashtra","₹5,08,000 a year",Work on a software development team to create and maintain internal and external business products.Coordinate within a cross-departmental team to solve…,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AiNMvsi1d0NtjZYREhIAd6FHX2DLU0Qp6h76bZjiVpN0Var1NhMjAipjR-qdvzUer1QF16tpxQ-5FY0poZ22TYdVIoX8KDwMc2OKWqqRpuJGqoyw5p4sSiQxVggDQT5pZzKQpxM8c_B2glAPoOFMioGIcyjeA3KBewfFhBhOwXNSCBXWiG3sW4FtBPTLrfBPMsoZfbgcv30UrJ6OgRMUG8UW_sbfoEEYkk0TZirkKYoO9yUtFJ6OGGTnRs2kd1CBClXMkLGo3wPzWF_6G0iBjfBcgWpu5NKFrzW2H-Ph-iL2H6lMzFYfkFUAtGPWoiSaqH-u-GAVwRu8_DNrbmtUGkxLnHEqcO1Q2FnWCU_qmJQQVzSLS5W6di4u4nZYMUz52H--54MaPSkKTMw7-_AWvQlEINH_U_ngDt0_nQk2SMcnuHaqtm6ICaIRYXBjxgmiflecSEYbZQQDEd-m4r5ZKmBU23xMdFBDU=&xkcb=SoCo-_M3af978w31Fp0KbzkdCdPP&p=12&fvj=1&vjs=3
React Developer,Tigeen Solutions (P) Ltd,"Remote in Lucknow, Uttar Pradesh+5 locations","₹20,000 - ₹60,000 a month","Experience in ReactJS/React Native (Required).Job Types: Full-time, Regular / Permanent.",https://in.indeed.com/company/Tigeensolutions.com/jobs/React-Developer-419058814e4cbe74?fccid=da45ea01596852ad&vjs=3
Jr Software Developer,Siemens,"Chennai, Tamil Nadu",Not Disclosed,"The ability to communicate complex procedures to other colleagues.Deploying software tools, processes, and metrics.Writing and implementing efficient code.",https://in.indeed.com/rc/clk?jk=7a72d93d58944b70&fccid=ea6bb53f0b18b8f2&vjs=3
